Countries,Year,Male_count,Female_count,Total Population,Domestic Revenue (In Billions),International revenue (In Billions),Total Revenue (In Billions),International Arrivals,Literacy,Crime Rate,Currency,Curr_$,Salary/Hour
Iraq,2020,20357778,19864725,40222503,188.4,110,298.4,649000,86.9,1.21,IQD,1192,12.22
Iraq,2021,20845705,20333646,41179351,81.4,126.5,207.9,759000,87.1,1.19,IQD,1450,12.31
Iraq,2022,21345432,21556443,44496122,119.3,199,318.3,543000,87.3,1.17,IQD,1567,13.33
Iceland,2010,160223,157818,318041,13.8,326.2,340,559000,87.9,0.62,ISK,122.24,9.71
Iceland,2011,160659,158355,319014,15.2,348.1,363.3,628000,88,0.93,ISK,115.95,9.84
Iceland,2012,161373,159343,320716,14.8,382,396.8,765000,88.12,0.31,ISK,125.08,9.95
Iceland,2013,162722,161042,323764,16.1,410.6,426.7,900000,88.24,0.31,ISK,122.18,10.66
Iceland,2014,164368,163018,327386,17.9,493.1,511,1102000,88.28,0.61,ISK,116.77,11.55
Iceland,2015,165975,164840,330815,17.5,506.8,524.3,1389000,88.31,0.91,ISK,131.92,12.22
Iceland,2016,168264,167175,335439,20.7,524.2,544.9,1891000,88.38,0.3,ISK,120.81,12.51
Iceland,2017,172279,171121,343400,24.7,607.3,632,2353000,88.4,0.9,ISK,106.84,12.78
Iceland,2018,177025,175696,352721,26.3,627.2,653.5,2488000,88.43,0.89,ISK,108.3,13.33
Iceland,2019,181038,179525,360563,24.9,638.7,663.7,2202000,88.49,0.89,ISK,122.61,13.88
Iceland,2020,184069,182394,366463,21.7,634.4,656.2,488000,88.56,0.87,ISK,135.42,14.28
Iceland,2021,187041,185254,372295,25.5,657.1,682.7,437000,88.67,0.85,ISK,126.99,14.66
Iceland,2022,192345,194326,372899,26.2,664.3,690.6,402000,88.77,0.83,ISK,178.36,15.33
Israel,2010,3765128,3858472,7623600,37.8,196.8,234.7,3444000,89.32,2.04,ILS,3.74,10.15
Israel,2011,3837807,3927993,7765800,49.4,212.9,262.3,3362000,89.45,1.96,ILS,3.58,12.04
Israel,2012,3912366,3998134,7910500,38.8,219.6,258.4,3520000,89.66,3.9,ILS,3.86,13.67
Israel,2013,3989533,4069967,8059500,51.7,242.5,294.2,3540000,89.76,5.82,ILS,3.61,13.88
Israel,2014,4070471,4145229,8215700,53.9,257,310.9,3251000,90.54,1.93,ILS,3.58,13.99
Israel,2015,4155479,4224621,8380100,28.1,272,300.1,3109000,91.43,1.96,ILS,3.89,14.69
Israel,2016,4241160,4304840,8546000,33.8,285.2,319,3070000,91.75,2.12,ILS,3.84,15.35
Israel,2017,4327497,4385803,8713300,42.7,312.6,355.3,3863000,92.67,2.32,ILS,3.6,16.67
Israel,2018,4414918,4467882,8882800,66.7,306.9,373.6,4389000,93.97,2.54,ILS,3.59,16.98
Israel,2019,4503237,4550763,9054000,80.7,317.2,397.9,4905000,94.88,2.85,ILS,3.56,17.3
Israel,2020,4586626,4628474,9215100,95.5,311.6,407.1,5192000,95.65,3.21,ILS,3.44,17.61
Israel,2021,4664016,4699984,9364000,159.1,322.5,481.6,5489000,96.24,3.45,ILS,3.23,17.93
Israel,2022,4743456,4763224,9038309,176.3,344.4,520.7,5983000,97.93,3.76,ILS,3.46,18.25
Italy,2010,28681402,30596015,59277417,381.6,1754.5,2136.1,18322500,99.85,0.89,EUR,64.58,12.88
Italy,2011,28732398,30647051,59379449,389.9,1905.1,2295,18586600,99.86,0.93,EUR,65.44,12.65
Italy,2012,28822965,30716752,59539717,405.2,1681.7,2087,18629300,99.87,0.31,EUR,65.89,13.42
Italy,2013,29180255,31053693,60233948,405.4,1736.5,2141.9,18967200,99.88,0.31,EUR,66.27,14.19
Italy,2014,29473355,31315785,60789140,404.3,1757.7,2162,19106800,99.89,0.61,EUR,66.47,14.96
Italy,2015,29467922,31262660,60730582,409.5,1427.1,1836.6,19492500,99.9,0.91,EUR,66.94,15.37
Italy,2016,29438983,31188515,60627498,425.1,1451.9,1877.1,19993100,99.91,0.3,EUR,65.37,16.5
Italy,2017,29415238,31121471,60536709,428.7,1533.1,1961.8,20322805,99.92,0.9,EUR,65.95,16.72
Italy,2018,29379072,31042688,60421760,429.4,1662.6,2091.9,21539900,99.93,0.89,EUR,66.44,17.04
Italy,2019,29061567,30667514,59729081,441.6,1569.7,2011.3,22431900,99.92,0.89,EUR,66.84,17.81
Italy,2020,28944855,30504672,59449527,411.7,1480.9,1892.6,20456570,99.93,0.87,EUR,67.46,18.35
Italy,2021,28777267,30288958,59066225,398.7,1701.2,2099.9,20712300,99.94,0.97,EUR,67.95,18.48
Italy,2022,28975432,31245422,59037474,423.6,1721.3,2144.9,20946257,99.95,0.99,EUR,68.35,19.12
Jamaica,2010,1397512,1412952,2810464,13.3,266.6,279.9,2832000,85.6,51.49,JMD,87.2,12.56
Jamaica,2011,1405569,1420363,2825932,14.4,275.5,289.9,3077000,86.4,40.09,JMD,85.89,13.89
Jamaica,2012,1413582,1428546,2842128,14.8,304.9,319.8,3306000,87.2,38.67,JMD,88.75,14.22
Jamaica,2013,1421484,1437226,2858710,14.3,329.5,343.8,3274000,87.6,42.01,JMD,100.4,14.55
Jamaica,2014,1429206,1445931,2875137,13.9,356.9,370.9,3504000,88.1,34.95,JMD,110.93,14.88
Jamaica,2015,1436700,1454324,2891024,14.2,397.6,411.9,3692000,88.5,41.78,JMD,116.97,15.21
Jamaica,2016,1443917,1462325,2906242,14.1,444.2,458.3,3837000,88.8,46.59,JMD,125.1,15.54
Jamaica,2017,1450841,1470007,2920848,14.8,482,496.9,4276000,89.4,56.39,JMD,127.96,15.87
Jamaica,2018,1457453,1477400,2934853,15.7,527.2,542.9,4319000,89.7,43.85,JMD,128.87,16.2
Jamaica,2019,1463720,1484557,2948277,15.8,563.6,579.4,4233000,89.9,54.78,JMD,133.31,16.53
Jamaica,2020,1469641,1491520,2961161,13.8,491.9,505.7,4143000,88.7,67,JMD,142.4,16.86
Jamaica,2021,1475189,1498273,2973462,13.7,511.7,525.4,4055000,89.1,68.87,JMD,156.27,17.19
Jamaica,2022,1486545,1507534,2827377,13.2,498.5,511.7,4236000,89.3,69.54,JMD,167.28,17.52
Jordan,2010,3703509,3558032,7261541,3,24.1,27.1,8078000,92.55,1.6,JOD,0.71,10.08
Jordan,2011,3900602,3762256,7662858,3.1,26.5,29.5,6813000,95.9,1.84,JOD,0.71,11.24
Jordan,2012,4111005,3978958,8089963,3.4,28.3,31.6,6314000,97.89,1.96,JOD,0.71,12.4
Jordan,2013,4322900,4196092,8518992,3.7,30.8,34.5,5389000,97.2,1.98,JOD,0.71,12.56
Jordan,2014,4520824,4397998,8918822,4,32.8,36.8,5327000,96.8,2.23,JOD,0.71,12.72
Jordan,2015,4693410,4573163,9266573,4.1,34.5,38.6,4809000,97.5,2.54,JOD,0.71,12.88
Jordan,2016,4836733,4717553,9554286,4.3,35.6,39.9,4236000,98.2,2.66,JOD,0.71,13.04
Jordan,2017,4952772,4833068,9785840,4.3,37.1,41.4,4565000,98.11,2.67,JOD,0.71,13.2
Jordan,2018,5043481,4921841,9965322,4.5,38.4,42.9,4922000,98.23,2.79,JOD,0.71,13.36
Jordan,2019,5113215,4988482,10101697,4.7,39.8,44.5,5361000,98.71,2.87,JOD,0.71,13.52
Jordan,2020,5165979,5037161,10203140,5,38.7,43.7,1240000,98.92,2.97,JOD,0.71,13.68
Jordan,2021,5201385,5067637,10269022,5.2,40,45.2,1123000,99.45,2.99,JOD,0.71,13.84
Jordan,2022,5278976,5167896,11285869,5.9,40.8,46.7,1359000,99.51,3.21,JOD,0.71,14
Japan,2010,62643467,65426533,128070000,145.6,613.4,759.1,8611000,99.34,0.36,JPY,87.78,13.21
Japan,2011,62510675,65322325,127833000,156.7,476.4,633.1,6219000,99.65,0.34,JPY,79.81,13.45
Japan,2012,62396539,65232461,127629000,159.9,512.4,672.4,8358000,99.54,0.33,JPY,79.79,13.69
Japan,2013,62294204,65150796,127445000,142.7,369.6,512.3,10364000,99.23,0.29,JPY,97.6,13.93
Japan,2014,62200548,65075452,127276000,137.8,359.2,497,13413000,99.8,0.31,JPY,105.94,14.17
Japan,2015,62124278,65016722,127141000,133,312,444.9,19737000,99.57,0.28,JPY,121.04,14.41
Japan,2016,62082854,64993146,127076000,149.5,354.2,503.7,24039000,99.47,0.28,JPY,108.79,14.65
Japan,2017,62022970,64949030,126972000,139.4,291.4,430.8,28691000,99.24,0.24,JPY,112.17,14.89
Japan,2018,61935432,64875568,126811000,153.7,384.1,537.8,31191000,99.32,0.26,JPY,110.42,15.13
Japan,2019,61839312,64793688,126633000,150.6,372.7,523.3,31881000,99.55,0.25,JPY,109.01,15.37
Japan,2020,61647846,64613154,126261000,146.9,393.2,540.1,41579805,99.21,0.22,JPY,106.77,15.61
Japan,2021,61354328,64327265,125681593,138.5,298.9,437.4,27382000,99.89,0.25,JPY,109.75,15.85
Japan,2022,62346432,65467789,123951692,147.5,376.4,523.9,29345000,99.75,0.43,JPY,123.57,16.09
Kazakhstan,2010,7889159,8432713,16321872,148,179.7,327.7,4097000,99.78,8.53,KZT,147.36,5.56
Kazakhstan,2011,8006532,8550670,16557202,192.6,363.9,556.6,5685000,99.2,8.61,KZT,146.62,5.62
Kazakhstan,2012,8122815,8669275,16792090,208,220.7,428.8,6163000,99.82,7.56,KZT,149.11,5.84
Kazakhstan,2013,8242815,8792736,17035551,236.6,334.1,570.7,6841000,99.17,6.58,KZT,152.13,6.12
Kazakhstan,2014,8367513,8920772,17288285,221.4,309.9,531.4,6333000,98.37,5.22,KZT,179.19,6.48
Kazakhstan,2015,8493748,9049058,17542806,184.4,236.8,421.2,6430000,98.84,4.85,KZT,221.73,6.76
Kazakhstan,2016,8619219,9174836,17794055,137.3,324.2,461.5,6509000,99.56,4.89,KZT,342.16,6.84
Kazakhstan,2017,8741668,9296108,18037776,166.8,335.8,502.7,7701000,99.9,4.34,KZT,326,7.04
Kazakhstan,2018,8861980,9414472,18276452,179.3,564.5,743.9,8789000,99.78,4.65,KZT,344.71,7.18
Kazakhstan,2019,8981438,9532235,18513673,181.7,714,895.8,8515000,98.24,4.89,KZT,382.75,7.32
Kazakhstan,2020,9102727,9652939,18755666,171.2,406,577.2,2035000,98.94,4.67,KZT,412.95,7.96
Kazakhstan,2021,9225846,9776740,19002586,190.8,320.4,511.3,1993000,99.8,4.98,KZT,425.91,8.06
Kazakhstan,2022,9567897,9856843,19397998,199.3,401,600.3,2194000,98.11,4.32,KZT,462.48,8.24
Kenya,2010,20868842,21161842,42030684,45.4,774.9,820.3,1609000,76.5,4.58,KES,79.23,4.55
Kenya,2011,21441112,21737158,43178270,47,809.3,856.2,1823000,76.91,5.26,KES,88.81,5.34
Kenya,2012,22021761,22321708,44343469,56.4,843.5,899.9,1711000,77.72,5.35,KES,84.53,6.13
Kenya,2013,22607797,22912189,45519986,61.7,847.4,909.1,1520000,77.89,5.45,KES,86.12,6.92
Kenya,2014,23195580,23504483,46700063,68.4,843.4,911.8,1350000,78.73,5.32,KES,87.92,7.21
Kenya,2015,23782609,24095730,47878339,70.2,951.4,1021.6,1181000,79.12,5.76,KES,98.18,7.5
Kenya,2016,24367251,24684280,49051531,74.8,1061.7,1136.6,1340000,79.45,5.97,KES,101.5,7.92
Kenya,2017,24950142,25271004,50221146,82,1194.9,1277,1449000,80.5,5.34,KES,103.41,8.08
Kenya,2018,25533874,25858696,51392570,92.2,1249.2,1341.4,2025000,81.54,5.25,KES,101.3,8.48
Kenya,2019,26122382,26451585,52573967,100.4,1445.5,1545.9,2049000,81.91,5.14,KES,101.99,8.66
Kenya,2020,26718527,27052773,53771300,100.7,1431.5,1532.2,2189000,82.61,5.93,KES,106.45,8.45
Kenya,2021,27322828,27662874,54985702,110.4,1000,1110.3,1987000,82.67,5.65,KES,109.64,8.52
Kenya,2022,28954378,28932145,54027487,123.5,1179,1302.5,2093000,83.89,5.67,KES,114.44,8.93
Cambodia,2010,6972050,7340155,14312205,11.2,95,106.2,2508000,76.89,2.31,KHR,4184.92,8.99
Cambodia,2011,7087005,7454416,14541421,12.8,204.6,217.4,2882000,76.91,1.84,KHR,4058.5,10.12
Cambodia,2012,7205612,7574842,14780454,14.2,367.6,381.7,3584000,77.23,1.45,KHR,4033,11.25
Cambodia,2013,7326766,7699564,15026330,15.2,392.3,407.6,4210000,77.93,1.56,KHR,4027.25,12.38
Cambodia,2014,7448809,7825697,15274506,16.7,547,563.7,4503000,78.06,1.65,KHR,4037.5,13.51
Cambodia,2015,7570441,7950994,15521435,18,589.1,607.1,4775000,80.53,1.97,KHR,4067.75,14.64
Cambodia,2016,7691291,8074999,15766290,20,684.8,704.8,5012000,80.93,1.94,KHR,4058.69,15.77
Cambodia,2017,7811386,8198027,16009413,22,791.1,813.1,5602000,81.84,1.84,KHR,4050.58,16.9
Cambodia,2018,7930228,8319567,16249795,24.6,939.7,964.4,6201000,81.95,1.47,KHR,4051.17,18.03
Cambodia,2019,8047364,8439178,16486542,27.1,1680.9,1708,6611000,82.78,1.95,KHR,4061.15,19.16
Cambodia,2020,8162424,8556547,16718971,25.9,1862.2,1888.2,1306000,82.89,1.47,KHR,4092.78,20.29
Cambodia,2021,8275136,8671310,16946446,27.1,2319.7,2346.7,1298000,83.92,1.68,KHR,4098.72,21.42
Cambodia,2022,8563421,8797432,16767842,28.6,2354.7,2383.3,1567000,84.15,1.95,KHR,4099.44,22.55
"Korea, Rep.",2010,24828871,24725241,49554112,1144.1,574.2,1718.3,8798000,85.23,0.98,KRW,1156.46,12.78
"Korea, Rep.",2011,25019009,24917629,49936638,1253.3,678,1931.2,9795000,85.83,0.87,KRW,1108.23,13.22
"Korea, Rep.",2012,25151510,25048343,50199853,1278.4,794.6,2073,11140000,86.28,0.82,KRW,1126.81,13.66
"Korea, Rep.",2013,25267949,25160944,50428893,1370.8,670.2,2041,12176000,86.93,0.76,KRW,1094.98,14.1
"Korea, Rep.",2014,25428291,25318368,50746659,1484.4,580.6,2065,14202000,86.24,0.72,KRW,1052.84,14.54
"Korea, Rep.",2015,25562160,25452787,51014947,1465.9,650.5,2116.4,13232000,87.23,0.65,KRW,1130.95,14.98
"Korea, Rep.",2016,25661177,25556626,51217803,1500.1,939.9,2440,17242000,87.97,1.12,KRW,1160.77,15.42
"Korea, Rep.",2017,25729091,25632820,51361911,1623.9,978.9,2602.8,13336000,87.45,1.25,KRW,1131,15.86
"Korea, Rep.",2018,25835406,25749652,51585058,1724.9,1185.6,2910.5,15347000,88.54,1.17,KRW,1100.16,16.3
"Korea, Rep.",2019,25919595,25845227,51764822,1651.4,1263.9,2915.4,17503000,89.65,1.18,KRW,1165.36,16.74
"Korea, Rep.",2020,25949728,25886511,51836239,1638,1178.3,2816.3,2519000,89.54,1.21,KRW,1180.27,17.18
"Korea, Rep.",2021,25898697,25846179,51744876,1799,1033.5,2832.5,15879000,90.43,1.42,KRW,1143.95,17.62
"Korea, Rep.",2022,25987890,25906709,51795264,1892.5,1121.1,3013.5,18975000,90.54,1.35,KRW,1189.23,18.06
Kuwait,2010,1729872,1262012,2991884,115.5,219.3,334.7,5208000,94.47,2.01,KWD,0.29,12.09
Kuwait,2011,1832247,1335807,3168054,154.1,181.5,335.6,5574000,94.89,1.86,KWD,0.28,12.66
Kuwait,2012,1940367,1408485,3348852,174.2,150.5,324.7,5729000,95.51,1.82,KWD,0.28,13.13
Kuwait,2013,2050222,1476160,3526382,170.3,167.2,337.5,6217000,95.59,1.56,KWD,0.28,13.2
Kuwait,2014,2156738,1534201,3690939,162.6,171.5,334.1,6528000,95.62,1.98,KWD,0.28,13.97
Kuwait,2015,2255989,1579599,3835588,114.6,270,384.6,6941000,95.69,1.84,KWD,0.3,14.04
Kuwait,2016,2346661,1610201,3956862,109.4,283.2,392.7,7055000,95.89,1.74,KWD,0.3,14.51
Kuwait,2017,2428715,1627387,4056102,120.7,292.1,412.8,7407000,96.04,1.48,KWD,0.3,14.78
Kuwait,2018,2501082,1636232,4137314,138.2,275.5,413.7,8508000,96.06,1.98,KWD,0.3,14.95
Kuwait,2019,2563055,1644022,4207077,136.4,291,427.4,8565000,96.33,1.46,KWD,0.3,14.82
Kuwait,2020,2614446,1656117,4270563,106,332.4,438.4,2161000,96.46,1.89,KWD,0.31,14.95
Kuwait,2021,2654306,1674247,4328553,127.4,110.1,237.5,1986000,96.57,2.57,KWD,0.3,15.06
Kuwait,2022,2698765,1685461,4268873,165.3,202.2,367.5,2237000,96.99,2.65,KWD,0.3,15.18
Lebanon,2010,2515674,2437390,4953064,38.4,123.8,162.2,2168000,97.44,3.29,LBP,1507.5,10.45
Lebanon,2011,2636642,2565380,5202022,39.9,217.6,257.5,1655000,97.66,3.23,LBP,1507.5,11.02
Lebanon,2012,2800438,2737182,5537620,44,340.7,384.7,1366000,97.36,3.5,LBP,1507.5,11.59
Lebanon,2013,2984100,2928916,5913016,47,393.8,440.8,1274000,97.85,3.99,LBP,1507.5,12.16
Lebanon,2014,3154600,3106446,6261046,48.2,461.7,509.9,1355000,98.45,3.83,LBP,1507.5,12.73
Lebanon,2015,3287820,3244861,6532681,49.9,55,104.9,1518000,98.68,3.54,LBP,1507.5,13.3
Lebanon,2016,3377146,3337135,6714281,51.1,553,604.1,1688000,98.54,3.5,LBP,1507.5,13.87
Lebanon,2017,3429311,3390062,6819373,53.1,725.5,778.6,1857000,98.65,3.61,LBP,1507.5,14.44
Lebanon,2018,3449884,3409524,6859408,55,829,883.9,1964000,99.54,2.51,LBP,1507.5,15.01
Lebanon,2019,3449246,3406463,6855709,51.7,802.8,854.5,1936000,99.65,2.65,LBP,1507.5,15.58
Lebanon,2020,3435746,3389696,6825442,26,585,611,1706000,99.83,1.88,LBP,1507.5,16.15
Lebanon,2021,3409650,3359501,6769151,18.2,505.5,523.6,1965000,99.38,1.98,LBP,1507.5,16.72
Lebanon,2022,3498761,3458724,5489739,22.4,544.9,567.3,2093000,99.95,1.87,LBP,1507.5,17.29
Liberia,2010,1948395,1942962,3891357,2,110.6,112.6,550000,91.78,3.32,LRD,71.4,8.03
Liberia,2011,2012214,2005232,4017446,2.5,160,162.4,580000,92.32,4.01,LRD,72.23,9.02
Liberia,2012,2072203,2063459,4135662,2.8,221.5,224.4,632000,92.67,3.26,LRD,73.51,10.01
Liberia,2013,2129524,2118813,4248337,3.3,329.1,332.4,674000,92.89,3.27,LRD,77.52,11
Liberia,2014,2186166,2173342,4359508,3.3,342.2,345.4,716000,93.14,3.65,LRD,83.89,11.99
Liberia,2015,2243640,2228589,4472229,3.3,331.2,334.5,747000,93.57,3.98,LRD,86.19,12.98
Liberia,2016,2302083,2284705,4586788,3.4,452,455.4,793000,94.67,3.28,LRD,94.43,13.97
Liberia,2017,2361022,2341202,4702224,3.4,491,494.4,813400,94.89,4.23,LRD,112.71,14.96
Liberia,2018,2420654,2398322,4818976,3.4,472.5,475.9,791200,95.07,4.54,LRD,144.06,15.95
Liberia,2019,2481116,2456258,4937374,3.3,544.2,547.5,834800,95.78,4.78,LRD,186.43,16.94
Liberia,2020,2542539,2515138,5057677,3,564.9,567.9,411000,95.91,4.98,LRD,191.52,17.93
Liberia,2021,2605064,2575144,5180208,3.5,654.2,657.7,430000,96.54,4.76,LRD,196.37,18.92
Liberia,2022,2789361,2678252,5302681,3.6,694.2,697.8,489500,96.78,4.67,LRD,199.37,19.91
Libya,2010,3164248,3033419,6197667,33.5,152,185.5,840000,97.33,4.92,LYD,1.27,3.06
Libya,2011,3183328,3064110,6247438,45.4,170.2,215.6,958000,97.88,1.19,LYD,1.22,4.56
Libya,2012,3196569,3089182,6285751,48.3,207,255.2,942000,98.23,1.84,LYD,1.26,6.06
Libya,2013,3208236,3112114,6320350,56.4,217.1,273.5,949000,98.45,1.99,LYD,1.27,7.56
Libya,2014,3224186,3137853,6362039,65.6,219,284.6,957000,98.86,2.23,LYD,1.27,9.06
Libya,2015,3248490,3169825,6418315,71.4,271.1,342.5,963000,98.88,2.29,LYD,1.38,10.56
Libya,2016,3282817,3209343,6492160,75.5,238,313.5,972000,99.32,1.19,LYD,1.39,12.06
Libya,2017,3325600,3255123,6580723,78.3,298.2,376.5,975000,99.57,2.67,LYD,1.39,13.56
Libya,2018,3373758,3304807,6678565,82.8,360.6,443.4,983000,99.89,2.98,LYD,1.36,15.06
Libya,2019,3422619,3354834,6777453,88.9,360.3,449.3,989000,99.45,2.78,LYD,1.4,16.56
Libya,2020,3468737,3402550,6871287,87.5,436.9,524.4,435000,99.93,2.88,LYD,1.42,18.06
Libya,2021,3511227,3447311,6958538,89.4,470.2,559.5,496200,98.67,3.22,LYD,1.48,19.56
Libya,2022,3671283,3547183,6812341,92.3,550.9,643.2,562000,98.35,3.56,LYD,1.49,21.06
Sri Lanka,2010,9866313,10395425,20261738,56.8,68,124.7,766000,87.89,3.77,LKR,113.06,8.88
Sri Lanka,2011,9909583,10488913,20398496,65.4,147.3,212.6,976000,88.23,3.59,LKR,110.57,9.34
Sri Lanka,2012,9900223,10524777,20425000,68.5,240.5,308.9,1133000,88.67,3.29,LKR,127.6,9.8
Sri Lanka,2013,9956946,10628054,20585000,74.4,331.5,405.9,1415000,89.65,3,LKR,129.07,10.26
Sri Lanka,2014,10031412,10746588,20778000,79.5,343.9,423.4,1665000,89.97,2.66,LKR,130.56,10.72
Sri Lanka,2015,10107534,10862466,20970000,80.6,375.1,455.7,1993000,90.34,2.33,LKR,135.86,11.18
Sri Lanka,2016,10205812,10997188,21203000,82.4,381.3,463.7,2168000,90.87,2.52,LKR,145.58,11.64
Sri Lanka,2017,10310132,11133868,21444000,87.4,482.8,570.2,2248000,91.9,2.3,LKR,152.45,12.1
Sri Lanka,2018,10408791,11261209,21670000,88,524.3,612.3,2521000,91.71,2.42,LKR,162.46,12.56
Sri Lanka,2019,10463418,11339582,21803000,83.9,560,643.9,2027000,92.25,3.48,LKR,178.74,13.02
Sri Lanka,2020,10509851,11409149,21919000,81,535.5,616.5,540000,92.38,4.34,LKR,185.59,13.48
Sri Lanka,2021,10613978,11542022,22156000,84.6,582.9,667.4,457000,92.67,4.98,LKR,189.47,13.94
Sri Lanka,2022,10763521,12938466,21832143,90.4,632.2,722.5,489000,92.96,5.78,LKR,191.48,14.4
Lithuania,2010,1425736,1671546,3097282,37.1,196.3,233.4,4073000,99.54,7.01,LTL,2.61,6.23
Lithuania,2011,1392825,1635290,3028115,43.5,390.1,433.6,4504000,99.82,6.84,LTL,2.48,6.8
Lithuania,2012,1373912,1613861,2987773,42.9,302.8,345.7,4979000,98.45,6.63,LTL,2.69,6.73
Lithuania,2013,1360334,1597355,2957689,46.5,288,334.5,5264000,98.56,6.58,LTL,2.6,6.94
Lithuania,2014,1349379,1582988,2932367,48.5,845,893.5,5217000,98.23,5.22,LTL,2.6,7.11
Lithuania,2015,1337721,1567189,2904910,41.4,411.7,453.2,5048000,98.48,4.85,LTL,2.75,7.8
Lithuania,2016,1322120,1546111,2868231,43,391.5,434.5,5322000,97.45,5.76,LTL,2.94,7.65
Lithuania,2017,1305326,1523077,2828403,47.8,384.8,432.6,5590000,97.34,5.92,LTL,3.56,7.82
Lithuania,2018,1294538,1507005,2801543,53.8,386.1,439.8,6115000,97.23,6.43,LTL,3.85,7.97
Lithuania,2019,1292438,1501699,2794137,54.7,178.9,233.6,6150000,96.45,6.87,LTL,3.95,8.06
Lithuania,2020,1293586,1501299,2794885,56.5,375.9,432.4,2284000,96.82,6.92,LTL,4.28,8.39
Lithuania,2021,1293918,1501403,2795321,65.5,56.2,121.7,1954000,96.83,6.26,LTL,4.79,8.5
Lithuania,2022,1299384,1582734,2750055,63.2,369.8,433,2012000,97.54,6.29,LTL,4.95,8.7
Morocco,2010,15946819,16396565,32343384,93.3,85.8,179,9752000,66.75,1.39,MAD,8.42,4.89
Morocco,2011,16172843,16609017,32781860,101.6,89.4,191.1,9784000,67.08,1.47,MAD,8.09,5.66
Morocco,2012,16415742,16826156,33241898,98.4,104.3,202.7,9830000,69.43,1.26,MAD,8.63,6.43
Morocco,2013,16668892,17046813,33715705,106.9,93.8,200.7,10349000,72.38,1.57,MAD,8.41,7.2
Morocco,2014,16922959,17269399,34192358,110.2,93.6,203.8,10507000,75.59,1.49,MAD,8.41,7.97
Morocco,2015,17171039,17492569,34663608,101.2,108.3,209.6,10542000,75.69,2.26,MAD,9.76,8.74
Morocco,2016,17410483,17715791,35126274,103.4,114,217.4,10677000,75.78,2.07,MAD,9.81,9.51
Morocco,2017,17642593,17938664,35581257,109.7,121.6,231.3,11540000,73.64,2.49,MAD,9.69,10.28
Morocco,2018,17869042,18160047,36029089,118.1,124.3,242.5,12489000,73.75,0.89,MAD,9.39,11.05
Morocco,2019,18093063,18378703,36471766,119.9,127,246.9,13109000,73.89,0.89,MAD,9.62,11.82
Morocco,2020,18316887,18593671,36910558,114.7,116,230.8,2802000,74.32,0.87,MAD,9.5,12.59
Morocco,2021,18540514,18804273,37344787,132.2,159.1,291.3,2647000,74.57,0.95,MAD,8.99,13.36
Morocco,2022,18993847,19347593,37457971,122.5,166.6,289.1,2984000,74.89,0.94,MAD,9.56,14.13
Madagascar,2010,10536295,10615345,21151640,10.2,97.9,108.1,198600,70.56,0.89,MGF,2089.95,6.55
Madagascar,2011,10832943,10911027,21743970,11.2,192.5,203.7,199858,71.28,1.19,MGF,2025.12,7.23
Madagascar,2012,11135051,11211590,22346641,11.6,201.2,212.8,230927,71.57,1.23,MGF,2194.97,7.91
Madagascar,2013,11443331,11517928,22961259,12.4,228.4,240.8,267483,72.74,1.56,MGF,2206.91,8.59
Madagascar,2014,11758685,11831212,23589897,12.5,240.2,252.6,278923,72.94,1.67,MGF,2414.81,9.27
Madagascar,2015,12081791,12152289,24234080,11.3,260,271.3,282000,73.67,1.78,MGF,2933.51,9.95
Madagascar,2016,12412889,12481481,24894370,11.8,263.5,275.3,333000,74.89,1.89,MGF,3176.54,10.63
Madagascar,2017,12751850,12818661,25570511,13.3,284.1,297.4,285000,75.47,1.93,MGF,3116.11,11.31
Madagascar,2018,13098600,13163713,26262313,13.6,304.9,318.5,360000,76.68,2.01,MGF,3334.75,11.99
Madagascar,2019,13452929,13516377,26969306,14.3,360.7,375,486000,77.42,2.21,MGF,3618.32,12.67
Madagascar,2020,13814619,13876400,27691019,13.3,393.4,406.6,493000,77.79,2.45,MGF,3787.75,13.35
Madagascar,2021,14183601,14243732,28427333,14.7,501.4,516.1,563893,78.25,2.56,MGF,3829.98,14.03
Madagascar,2022,14902834,14923845,29611714,15.3,496.5,511.8,598730,78.58,2.67,MGF,3974.45,14.71
Maldives,2010,198701,167029,365730,2.6,131,133.6,792000,95.32,1.64,MVR,12.8,7.66
Maldives,2011,210247,170246,380493,2.8,242.9,245.7,931000,95.56,0.79,MVR,14.6,8.01
Maldives,2012,223632,173599,397231,2.9,329.4,332.4,958000,96.78,2.52,MVR,15.36,8.36
Maldives,2013,238587,177005,415592,3.3,422.5,425.8,1125000,97.47,0.72,MVR,15.37,8.71
Maldives,2014,254672,180346,435018,3.7,432.2,435.9,1205000,98.61,0.52,MVR,15.38,9.06
Maldives,2015,271367,183547,454914,4.1,541.1,545.3,1234000,98.89,0.53,MVR,15.37,9.41
Maldives,2016,288938,186567,475505,4.4,540.8,545.2,1286000,97.73,0.62,MVR,15.37,9.76
Maldives,2017,306973,189425,496398,4.8,620.4,625.1,1390000,97.56,0.79,MVR,15.39,10.11
Maldives,2018,323527,192177,515704,5.3,750.2,755.5,1484000,97.34,0.97,MVR,15.39,10.46
Maldives,2019,336070,194887,530957,5.6,829.4,835,1703000,96.57,0.86,MVR,15.38,10.81
Maldives,2020,342928,197614,540542,3.7,640.8,644.5,555000,96.42,0.72,MVR,15.38,11.16
